time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-09 00:00:00+00:00,,,10,5
2025-01-10 00:00:00+00:00,,,12,3
2025-01-12 00:00:00+00:00,,,9,3
2025-01-13 00:00:00+00:00,2.0,1.0,81,9
2025-01-14 00:00:00+00:00,,,8,2
2025-01-15 00:00:00+00:00,2.0,1.0,86,5
2025-01-16 00:00:00+00:00,,,21,5
2025-01-17 00:00:00+00:00,8.0,3.0,98,4
2025-01-18 00:00:00+00:00,5.0,3.0,45,3
2025-01-19 00:00:00+00:00,,,30,3
2025-01-20 00:00:00+00:00,1.0,1.0,31,6
2025-01-21 00:00:00+00:00,3.0,2.0,95,6
2025-01-22 00:00:00+00:00,5.0,3.0,73,5
