time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-31 00:00:00+00:00,7,6,58,6
2025-01-01 00:00:00+00:00,2,1,45,9
2025-01-02 00:00:00+00:00,0,0,43,7
2025-01-03 00:00:00+00:00,0,0,1,1
2025-01-04 00:00:00+00:00,0,0,63,2
2025-01-05 00:00:00+00:00,0,0,46,2
2025-01-06 00:00:00+00:00,0,0,59,6
2025-01-07 00:00:00+00:00,0,0,35,6
2025-01-08 00:00:00+00:00,0,0,1,1
2025-01-09 00:00:00+00:00,0,0,10,5
2025-01-10 00:00:00+00:00,0,0,12,3
2025-01-12 00:00:00+00:00,0,0,9,3
2025-01-13 00:00:00+00:00,2,1,81,9
2025-01-14 00:00:00+00:00,0,0,8,2
2025-01-15 00:00:00+00:00,2,1,86,5
2025-01-16 00:00:00+00:00,0,0,21,5
2025-01-17 00:00:00+00:00,8,3,98,4
2025-01-18 00:00:00+00:00,5,3,45,3
2025-01-19 00:00:00+00:00,0,0,30,3
2025-01-20 00:00:00+00:00,1,1,31,6
2025-01-21 00:00:00+00:00,3,2,95,6
