time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-10 00:00:00+00:00,2.0,2.0,4,2
2024-09-11 00:00:00+00:00,7.0,7.0,27,6
2024-09-12 00:00:00+00:00,2.0,1.0,1,1
2024-09-13 00:00:00+00:00,3.0,3.0,14,5
2024-09-14 00:00:00+00:00,,,2,2
2024-09-15 00:00:00+00:00,,,12,3
2024-09-16 00:00:00+00:00,,,5,3
2024-09-17 00:00:00+00:00,,,3,3
2024-09-18 00:00:00+00:00,1.0,1.0,3,3
2024-09-19 00:00:00+00:00,,,29,10
2024-09-20 00:00:00+00:00,3.0,3.0,2,2
2024-09-21 00:00:00+00:00,1.0,1.0,1,1
2024-09-22 00:00:00+00:00,1.0,1.0,1,1
2024-09-23 00:00:00+00:00,2.0,2.0,6,2
