time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-13 00:00:00+00:00,3,3,118,10
2024-12-15 00:00:00+00:00,1,1,2,1
2024-12-16 00:00:00+00:00,1,1,19,7
2024-12-17 00:00:00+00:00,1,1,5,4
2024-12-18 00:00:00+00:00,2,2,19,4
2024-12-19 00:00:00+00:00,1,1,5,1
2024-12-20 00:00:00+00:00,2,2,7,2
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,1,1,3,1
2024-12-24 00:00:00+00:00,1,1,1,1
2024-12-25 00:00:00+00:00,1,1,0,0
2024-12-26 00:00:00+00:00,1,1,1,1
2024-12-27 00:00:00+00:00,1,1,1,1
2024-12-28 00:00:00+00:00,0,0,3,2
2024-12-29 00:00:00+00:00,0,0,1,1
2024-12-30 00:00:00+00:00,1,1,10,2
2024-12-31 00:00:00+00:00,1,1,1,1
2025-01-01 00:00:00+00:00,2,2,2,1
2025-01-02 00:00:00+00:00,1,1,10,3
