time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-16 00:00:00+00:00,,,2,2
2024-11-17 00:00:00+00:00,,,2,1
2024-11-18 00:00:00+00:00,,,10,2
2024-11-19 00:00:00+00:00,,,8,4
2024-11-20 00:00:00+00:00,,,41,24
2024-11-21 00:00:00+00:00,4.0,4.0,109,15
2024-11-22 00:00:00+00:00,3.0,2.0,8,6
2024-11-23 00:00:00+00:00,,,11,2
2024-11-25 00:00:00+00:00,,,11,1
2024-11-26 00:00:00+00:00,1.0,1.0,3,3
2024-11-27 00:00:00+00:00,,,4,1
2024-11-28 00:00:00+00:00,,,3,2
2024-11-29 00:00:00+00:00,,,15,5
