time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,0,0,1,1
2024-08-30 00:00:00+00:00,0,0,1,1
2024-09-02 00:00:00+00:00,0,0,1,1
2024-09-03 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,2,2,57,3
2024-09-05 00:00:00+00:00,0,0,12,9
2024-09-06 00:00:00+00:00,0,0,9,2
2024-09-08 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,0,0,5,3
2024-09-10 00:00:00+00:00,0,0,7,4
2024-09-11 00:00:00+00:00,0,0,12,5
2024-09-12 00:00:00+00:00,0,0,14,1
2024-09-13 00:00:00+00:00,0,0,17,4
