time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-04 00:00:00+00:00,,,27,9
2024-11-05 00:00:00+00:00,1.0,1.0,34,13
2024-11-06 00:00:00+00:00,1.0,1.0,36,11
2024-11-07 00:00:00+00:00,1.0,1.0,20,6
2024-11-08 00:00:00+00:00,1.0,1.0,36,11
2024-11-09 00:00:00+00:00,,,2,2
2024-11-10 00:00:00+00:00,,,6,4
2024-11-11 00:00:00+00:00,,,12,6
2024-11-12 00:00:00+00:00,,,31,11
2024-11-13 00:00:00+00:00,2.0,2.0,18,9
2024-11-14 00:00:00+00:00,,,12,6
2024-11-15 00:00:00+00:00,2.0,1.0,29,12
2024-11-16 00:00:00+00:00,,,2,2
