time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,11,4
2024-08-29 00:00:00+00:00,2,2,16,6
2024-08-30 00:00:00+00:00,0,0,22,7
2024-08-31 00:00:00+00:00,0,0,3,3
2024-09-01 00:00:00+00:00,1,1,14,3
2024-09-02 00:00:00+00:00,0,0,22,4
2024-09-03 00:00:00+00:00,0,0,22,7
2024-09-04 00:00:00+00:00,0,0,22,6
2024-09-05 00:00:00+00:00,0,0,16,5
2024-09-06 00:00:00+00:00,0,0,27,8
2024-09-07 00:00:00+00:00,0,0,27,5
2024-09-08 00:00:00+00:00,0,0,12,3
2024-09-09 00:00:00+00:00,1,1,39,10
2024-09-10 00:00:00+00:00,2,2,39,11
2024-09-11 00:00:00+00:00,1,1,27,10
2024-09-12 00:00:00+00:00,2,2,36,10
2024-09-13 00:00:00+00:00,1,1,12,7
2024-09-14 00:00:00+00:00,0,0,9,4
2024-09-15 00:00:00+00:00,0,0,2,1
2024-09-16 00:00:00+00:00,2,2,166,8
2024-09-17 00:00:00+00:00,6,3,50,11
2024-09-18 00:00:00+00:00,8,5,103,13
2024-09-19 00:00:00+00:00,3,2,37,16
2024-09-20 00:00:00+00:00,0,0,18,12
2024-09-21 00:00:00+00:00,0,0,2,2
2024-09-22 00:00:00+00:00,1,1,10,1
2024-09-23 00:00:00+00:00,1,1,46,12
2024-09-24 00:00:00+00:00,0,0,51,17
2024-09-25 00:00:00+00:00,0,0,20,9
2024-09-26 00:00:00+00:00,1,1,59,18
2024-09-27 00:00:00+00:00,1,1,31,11
2024-09-28 00:00:00+00:00,0,0,8,2
2024-09-29 00:00:00+00:00,0,0,10,4
2024-09-30 00:00:00+00:00,0,0,34,8
2024-10-01 00:00:00+00:00,0,0,16,4
2024-10-02 00:00:00+00:00,0,0,14,7
2024-10-03 00:00:00+00:00,1,1,12,9
2024-10-04 00:00:00+00:00,0,0,10,5
2024-10-05 00:00:00+00:00,0,0,2,2
2024-10-06 00:00:00+00:00,1,1,5,3
2024-10-07 00:00:00+00:00,1,1,28,9
2024-10-08 00:00:00+00:00,1,1,50,12
2024-10-09 00:00:00+00:00,0,0,22,5
2024-10-10 00:00:00+00:00,0,0,29,10
2024-10-11 00:00:00+00:00,1,1,13,6
2024-10-12 00:00:00+00:00,0,0,14,4
2024-10-13 00:00:00+00:00,0,0,3,3
2024-10-14 00:00:00+00:00,0,0,31,13
2024-10-15 00:00:00+00:00,1,1,76,21
2024-10-16 00:00:00+00:00,0,0,33,11
2024-10-17 00:00:00+00:00,2,1,23,8
2024-10-18 00:00:00+00:00,0,0,29,10
2024-10-19 00:00:00+00:00,1,1,6,4
2024-10-20 00:00:00+00:00,0,0,9,2
2024-10-21 00:00:00+00:00,1,1,26,12
2024-10-22 00:00:00+00:00,1,1,34,10
2024-10-23 00:00:00+00:00,1,1,27,8
2024-10-24 00:00:00+00:00,1,1,18,9
2024-10-25 00:00:00+00:00,0,0,22,10
2024-10-26 00:00:00+00:00,1,1,1,1
2024-10-27 00:00:00+00:00,1,1,1,1
2024-10-28 00:00:00+00:00,2,2,32,15
