time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,2.0,2.0,78,18
2024-08-29 00:00:00+00:00,2.0,2.0,253,34
2024-08-30 00:00:00+00:00,2.0,2.0,222,21
2024-08-31 00:00:00+00:00,,,56,7
2024-09-01 00:00:00+00:00,,,72,5
2024-09-02 00:00:00+00:00,,,108,23
2024-09-03 00:00:00+00:00,,,194,26
2024-09-04 00:00:00+00:00,1.0,1.0,285,23
2024-09-05 00:00:00+00:00,4.0,4.0,298,19
2024-09-06 00:00:00+00:00,1.0,1.0,250,15
2024-09-07 00:00:00+00:00,,,75,10
2024-09-08 00:00:00+00:00,,,42,6
2024-09-09 00:00:00+00:00,1.0,1.0,315,18
2024-09-10 00:00:00+00:00,1.0,1.0,427,35
