url_path,views_total,views_unique
/quic/sample-apps-for-robotics-platforms,100,73
/quic/sample-apps-for-robotics-platforms/tree/master/RB5/linux_kernel_5_x,41,26
/quic/sample-apps-for-robotics-platforms/tree/master/RB5,33,25
/quic/sample-apps-for-robotics-platforms/tree/master/RB5/linux_kernel_5_x/AI-ML-apps,31,16
/quic/sample-apps-for-robotics-platforms/tree/master,27,10
/quic/sample-apps-for-robotics-platforms/tree/master/RB5/linux_kernel_5_x/AI-ML-apps/snpe_detection,23,11
/quic/sample-apps-for-robotics-platforms/tree/master/RB1RB2,14,9
/quic/sample-apps-for-robotics-platforms/tree/master/RB5/linux_kernel_5_x/AI-ML-apps/snpe_classification,12,5
/quic/sample-apps-for-robotics-platforms/tree/master/RB5/linux_kernel_5_x/AI-ML-apps/AI_Vision_Solutions,11,7
/quic/sample-apps-for-robotics-platforms/tree/master/RB5/linux_kernel_5_x/AI-ML-apps/AI_Tracker_Solution,11,4
