time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,0,0,18,15
2024-11-18 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,0,0,4,1
2024-11-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,1,1
2025-02-01 00:00:00+00:00,2,2,0,0
2025-02-04 00:00:00+00:00,1,1,1,1
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,2,1,0,0
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-18 00:00:00+00:00,0,0,1,1
