time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-08 00:00:00+00:00,,,5,5
2024-10-09 00:00:00+00:00,,,21,7
2024-10-10 00:00:00+00:00,,,18,7
2024-10-11 00:00:00+00:00,,,17,4
2024-10-12 00:00:00+00:00,,,5,4
2024-10-13 00:00:00+00:00,,,3,1
2024-10-14 00:00:00+00:00,,,6,5
2024-10-15 00:00:00+00:00,,,12,7
2024-10-16 00:00:00+00:00,,,6,4
2024-10-17 00:00:00+00:00,,,23,3
2024-10-18 00:00:00+00:00,1.0,1.0,4,4
2024-10-19 00:00:00+00:00,,,25,4
2024-10-20 00:00:00+00:00,,,16,5
2024-10-21 00:00:00+00:00,1.0,1.0,4,3
