time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,0,0,1,1
2024-08-29 00:00:00+00:00,0,0,5,3
2024-08-30 00:00:00+00:00,1,1,5,2
2024-08-31 00:00:00+00:00,0,0,1,1
2024-09-02 00:00:00+00:00,0,0,8,7
2024-09-03 00:00:00+00:00,0,0,35,12
2024-09-04 00:00:00+00:00,0,0,8,6
2024-09-05 00:00:00+00:00,3,3,1,1
2024-09-06 00:00:00+00:00,0,0,2,2
2024-09-07 00:00:00+00:00,0,0,3,3
2024-09-08 00:00:00+00:00,0,0,3,3
2024-09-09 00:00:00+00:00,0,0,5,2
2024-09-10 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,3,3,9,5
2024-09-12 00:00:00+00:00,0,0,22,7
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-14 00:00:00+00:00,0,0,6,2
