time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-28 00:00:00+00:00,2.0,2.0,227,6
2025-04-29 00:00:00+00:00,,,14,4
2025-04-30 00:00:00+00:00,4.0,4.0,102,8
2025-05-01 00:00:00+00:00,1.0,1.0,10,2
2025-05-02 00:00:00+00:00,1.0,1.0,11,5
2025-05-04 00:00:00+00:00,1.0,1.0,2,1
2025-05-05 00:00:00+00:00,1.0,1.0,123,12
2025-05-06 00:00:00+00:00,2.0,2.0,39,9
2025-05-07 00:00:00+00:00,1.0,1.0,14,7
2025-05-08 00:00:00+00:00,2.0,2.0,16,6
2025-05-09 00:00:00+00:00,4.0,3.0,9,4
2025-05-10 00:00:00+00:00,,,1,1
