time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,1,1
2024-08-29 00:00:00+00:00,0,0,3,3
2024-08-30 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,0,0,10,1
2024-09-03 00:00:00+00:00,0,0,8,3
2024-09-04 00:00:00+00:00,0,0,14,3
2024-09-05 00:00:00+00:00,0,0,6,3
2024-09-06 00:00:00+00:00,2,2,0,0
2024-09-08 00:00:00+00:00,3,3,0,0
2024-09-09 00:00:00+00:00,3,3,5,3
2024-09-10 00:00:00+00:00,4,2,10,3
2024-09-11 00:00:00+00:00,0,0,11,6
2024-09-12 00:00:00+00:00,0,0,14,4
2024-09-14 00:00:00+00:00,1,1,0,0
2024-09-15 00:00:00+00:00,2,2,0,0
2024-09-16 00:00:00+00:00,1,1,2,2
2024-09-17 00:00:00+00:00,3,3,3,1
2024-09-18 00:00:00+00:00,0,0,2,1
2024-09-19 00:00:00+00:00,1,1,4,2
2024-09-20 00:00:00+00:00,0,0,25,2
2024-09-21 00:00:00+00:00,0,0,45,2
2024-09-23 00:00:00+00:00,1,1,2,2
2024-09-25 00:00:00+00:00,0,0,55,5
2024-09-26 00:00:00+00:00,0,0,12,5
2024-09-29 00:00:00+00:00,0,0,1,1
2024-10-01 00:00:00+00:00,0,0,14,2
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,1,1,16,3
2024-10-05 00:00:00+00:00,0,0,6,1
2024-10-06 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,1,1,27,5
2024-10-08 00:00:00+00:00,0,0,6,3
2024-10-09 00:00:00+00:00,0,0,6,2
2024-10-10 00:00:00+00:00,0,0,7,3
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,3,2
2024-10-13 00:00:00+00:00,0,0,6,3
2024-10-14 00:00:00+00:00,1,1,4,3
2024-10-15 00:00:00+00:00,3,3,31,4
2024-10-16 00:00:00+00:00,3,3,9,4
2024-10-17 00:00:00+00:00,1,1,2,2
2024-10-18 00:00:00+00:00,1,1,10,3
2024-10-19 00:00:00+00:00,1,1,2,1
2024-10-21 00:00:00+00:00,3,3,2,2
2024-10-22 00:00:00+00:00,1,1,4,2
2024-10-23 00:00:00+00:00,1,1,4,3
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,0,0,22,4
2024-10-26 00:00:00+00:00,2,2,25,1
2024-10-27 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,2,1,2,2
2024-10-29 00:00:00+00:00,0,0,11,1
2024-10-30 00:00:00+00:00,0,0,7,2
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,0,0,4,2
2024-11-03 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,2,2,9,7
2024-11-05 00:00:00+00:00,0,0,14,6
2024-11-06 00:00:00+00:00,1,1,6,5
2024-11-07 00:00:00+00:00,0,0,2,2
2024-11-08 00:00:00+00:00,0,0,5,3
2024-11-09 00:00:00+00:00,0,0,28,1
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,3,3,6,3
2024-11-12 00:00:00+00:00,1,1,2,2
2024-11-13 00:00:00+00:00,0,0,8,3
