time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,3,2
2024-08-31 00:00:00+00:00,0,0,1,1
2024-09-01 00:00:00+00:00,0,0,1,1
2024-09-05 00:00:00+00:00,0,0,6,1
2024-09-06 00:00:00+00:00,0,0,2,1
2024-09-08 00:00:00+00:00,0,0,2,1
2024-09-09 00:00:00+00:00,0,0,2,2
2024-09-11 00:00:00+00:00,1,1,8,1
2024-09-12 00:00:00+00:00,0,0,4,2
2024-09-13 00:00:00+00:00,0,0,23,2
2024-09-14 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,1,1,11,1
2024-09-17 00:00:00+00:00,0,0,2,2
2024-09-18 00:00:00+00:00,0,0,12,2
2024-09-20 00:00:00+00:00,3,1,8,1
2024-09-22 00:00:00+00:00,1,1,1,1
2024-09-30 00:00:00+00:00,0,0,11,2
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-06 00:00:00+00:00,0,0,3,1
2024-10-07 00:00:00+00:00,0,0,4,2
2024-10-08 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,9,4,46,4
2024-10-17 00:00:00+00:00,0,0,11,4
2024-10-18 00:00:00+00:00,0,0,2,2
2024-10-19 00:00:00+00:00,0,0,1,1
2024-10-20 00:00:00+00:00,1,1,0,0
2024-10-21 00:00:00+00:00,0,0,3,1
2024-10-22 00:00:00+00:00,1,1,12,2
2024-10-23 00:00:00+00:00,0,0,25,3
2024-10-24 00:00:00+00:00,0,0,6,2
2024-10-25 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,0,0,4,2
2024-10-29 00:00:00+00:00,0,0,5,1
2024-10-30 00:00:00+00:00,0,0,7,1
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,1,1,10,2
2024-11-05 00:00:00+00:00,0,0,23,1
2024-11-07 00:00:00+00:00,0,0,1,1
