time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-30 00:00:00+00:00,1.0,1.0,77,6
2024-10-31 00:00:00+00:00,1.0,1.0,6,2
2024-11-01 00:00:00+00:00,1.0,1.0,37,3
2024-11-02 00:00:00+00:00,,,7,2
2024-11-03 00:00:00+00:00,1.0,1.0,4,1
2024-11-04 00:00:00+00:00,1.0,1.0,7,4
2024-11-05 00:00:00+00:00,1.0,1.0,16,5
2024-11-06 00:00:00+00:00,,,10,3
2024-11-07 00:00:00+00:00,,,18,5
2024-11-08 00:00:00+00:00,,,2,2
2024-11-09 00:00:00+00:00,,,16,2
2024-11-10 00:00:00+00:00,,,1,1
2024-11-11 00:00:00+00:00,,,14,4
2024-11-12 00:00:00+00:00,1.0,1.0,13,4
