time_iso8601,stars_cumulative
2021-10-04 00:00:00+00:00,1
2022-01-31 00:00:00+00:00,2
2022-09-14 00:00:00+00:00,3
2023-01-02 00:00:00+00:00,4
2023-03-30 00:00:00+00:00,5
2023-04-18 00:00:00+00:00,6
2023-05-02 00:00:00+00:00,7
2023-06-02 00:00:00+00:00,8
2023-06-23 00:00:00+00:00,9
2023-09-14 00:00:00+00:00,10
2023-10-06 00:00:00+00:00,11
2023-11-09 00:00:00+00:00,12
2023-12-27 00:00:00+00:00,14
2024-01-05 00:00:00+00:00,15
2024-02-21 00:00:00+00:00,16
2024-07-08 00:00:00+00:00,17
2024-09-10 00:00:00+00:00,18
2024-10-20 00:00:00+00:00,19
