time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,0,0,2,1
2024-08-28 00:00:00+00:00,1,1,1,1
2024-08-29 00:00:00+00:00,1,1,3,3
2024-08-30 00:00:00+00:00,1,1,2,1
2024-08-31 00:00:00+00:00,2,2,6,2
2024-09-02 00:00:00+00:00,0,0,1,1
2024-09-03 00:00:00+00:00,0,0,5,3
2024-09-04 00:00:00+00:00,0,0,3,2
2024-09-05 00:00:00+00:00,3,3,29,8
2024-09-06 00:00:00+00:00,2,2,10,5
2024-09-07 00:00:00+00:00,0,0,2,1
2024-09-08 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,2,2,5,4
2024-09-10 00:00:00+00:00,0,0,15,6
2024-09-11 00:00:00+00:00,0,0,11,7
2024-09-12 00:00:00+00:00,1,1,4,3
2024-09-13 00:00:00+00:00,4,1,2,1
2024-09-14 00:00:00+00:00,0,0,20,5
2024-09-15 00:00:00+00:00,0,0,2,1
2024-09-16 00:00:00+00:00,6,4,22,3
2024-09-17 00:00:00+00:00,6,2,72,6
2024-09-18 00:00:00+00:00,5,2,95,6
2024-09-19 00:00:00+00:00,10,5,28,7
2024-09-20 00:00:00+00:00,1,1,62,5
2024-09-21 00:00:00+00:00,0,0,1,1
2024-09-22 00:00:00+00:00,0,0,4,1
2024-09-23 00:00:00+00:00,1,1,13,6
2024-09-24 00:00:00+00:00,0,0,4,3
2024-09-25 00:00:00+00:00,0,0,13,3
2024-09-26 00:00:00+00:00,1,1,10,3
2024-09-27 00:00:00+00:00,0,0,23,1
2024-09-30 00:00:00+00:00,3,3,3,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,0,0,15,6
2024-10-03 00:00:00+00:00,0,0,16,9
2024-10-04 00:00:00+00:00,0,0,15,3
2024-10-05 00:00:00+00:00,1,1,6,3
2024-10-07 00:00:00+00:00,3,2,47,5
2024-10-08 00:00:00+00:00,2,2,31,7
2024-10-09 00:00:00+00:00,0,0,17,6
2024-10-10 00:00:00+00:00,0,0,10,2
2024-10-11 00:00:00+00:00,1,1,6,3
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-13 00:00:00+00:00,0,0,2,1
2024-10-14 00:00:00+00:00,0,0,8,3
2024-10-15 00:00:00+00:00,8,4,75,12
2024-10-16 00:00:00+00:00,5,3,40,9
2024-10-17 00:00:00+00:00,0,0,37,11
2024-10-18 00:00:00+00:00,3,2,50,10
2024-10-19 00:00:00+00:00,5,2,42,5
2024-10-20 00:00:00+00:00,1,1,35,5
2024-10-21 00:00:00+00:00,1,1,23,8
2024-10-22 00:00:00+00:00,1,1,55,8
2024-10-23 00:00:00+00:00,0,0,7,3
2024-10-24 00:00:00+00:00,1,1,6,1
2024-10-25 00:00:00+00:00,2,2,8,5
2024-10-26 00:00:00+00:00,1,1,6,2
2024-10-27 00:00:00+00:00,1,1,15,2
2024-10-28 00:00:00+00:00,0,0,8,2
2024-10-29 00:00:00+00:00,0,0,15,3
2024-10-30 00:00:00+00:00,1,1,77,6
2024-10-31 00:00:00+00:00,1,1,6,2
2024-11-01 00:00:00+00:00,1,1,37,3
2024-11-02 00:00:00+00:00,0,0,7,2
2024-11-03 00:00:00+00:00,1,1,4,1
2024-11-04 00:00:00+00:00,1,1,7,4
2024-11-05 00:00:00+00:00,1,1,16,5
2024-11-06 00:00:00+00:00,0,0,10,3
2024-11-07 00:00:00+00:00,0,0,18,5
2024-11-08 00:00:00+00:00,0,0,2,2
2024-11-09 00:00:00+00:00,0,0,16,2
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,14,4
2024-11-12 00:00:00+00:00,1,1,13,4
2024-11-13 00:00:00+00:00,1,1,5,2
2024-11-14 00:00:00+00:00,0,0,2,2
2024-11-16 00:00:00+00:00,1,1,0,0
2024-11-17 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,0,0,4,3
2024-11-19 00:00:00+00:00,0,0,9,4
2024-11-20 00:00:00+00:00,0,0,9,5
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,0,0,3,2
2024-11-23 00:00:00+00:00,0,0,3,1
2024-11-25 00:00:00+00:00,0,0,15,4
2024-11-26 00:00:00+00:00,0,0,45,4
2024-11-27 00:00:00+00:00,6,3,37,5
2024-11-28 00:00:00+00:00,1,1,18,4
2024-11-29 00:00:00+00:00,2,2,8,3
2024-11-30 00:00:00+00:00,1,1,4,2
2024-12-01 00:00:00+00:00,1,1,0,0
2024-12-02 00:00:00+00:00,1,1,5,3
2024-12-03 00:00:00+00:00,8,3,36,7
2024-12-04 00:00:00+00:00,0,0,11,3
2024-12-05 00:00:00+00:00,0,0,5,1
2024-12-06 00:00:00+00:00,0,0,7,2
2024-12-08 00:00:00+00:00,0,0,3,2
2024-12-09 00:00:00+00:00,0,0,23,7
2024-12-10 00:00:00+00:00,0,0,24,8
2024-12-11 00:00:00+00:00,1,1,28,3
2024-12-12 00:00:00+00:00,0,0,51,2
2024-12-13 00:00:00+00:00,0,0,3,2
2024-12-14 00:00:00+00:00,0,0,10,3
2024-12-15 00:00:00+00:00,1,1,20,4
2024-12-16 00:00:00+00:00,0,0,2,2
2024-12-17 00:00:00+00:00,0,0,4,1
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-19 00:00:00+00:00,0,0,8,5
2024-12-20 00:00:00+00:00,0,0,7,5
