time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-30 00:00:00+00:00,0,0,2,1
2024-09-04 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,2,2,1,1
2024-09-14 00:00:00+00:00,2,2,0,0
2024-09-15 00:00:00+00:00,1,1,1,1
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-08 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,1,1,8,1
2024-10-18 00:00:00+00:00,0,0,2,2
2024-11-01 00:00:00+00:00,1,1,0,0
2024-11-05 00:00:00+00:00,4,2,27,1
2024-11-06 00:00:00+00:00,0,0,3,2
2024-11-08 00:00:00+00:00,0,0,4,3
2024-11-09 00:00:00+00:00,0,0,3,3
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-14 00:00:00+00:00,0,0,1,1
