time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-11 00:00:00+00:00,2,2,2,2
2024-09-12 00:00:00+00:00,0,0,15,3
2024-09-13 00:00:00+00:00,0,0,19,3
2024-09-14 00:00:00+00:00,0,0,5,1
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,1,1,0,0
2024-10-02 00:00:00+00:00,0,0,2,1
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-16 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,0,0,2,2
2024-10-21 00:00:00+00:00,0,0,2,1
2024-10-23 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,3,2,18,1
2024-11-06 00:00:00+00:00,0,0,4,2
2024-11-07 00:00:00+00:00,1,1,3,1
2024-11-08 00:00:00+00:00,0,0,10,6
2024-11-09 00:00:00+00:00,0,0,4,4
2024-11-10 00:00:00+00:00,0,0,2,2
2024-11-12 00:00:00+00:00,0,0,1,1
