time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-30 00:00:00+00:00,0,0,1,1
2024-08-31 00:00:00+00:00,2,2,2,1
2024-09-04 00:00:00+00:00,0,0,1,1
2024-09-07 00:00:00+00:00,1,1,1,1
2024-09-09 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,2,2,4,3
2024-09-12 00:00:00+00:00,0,0,7,3
2024-09-13 00:00:00+00:00,0,0,3,2
2024-09-20 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,4,1
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,1,1,0,0
2024-11-05 00:00:00+00:00,7,3,26,2
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,10,1
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-14 00:00:00+00:00,0,0,2,2
2024-11-15 00:00:00+00:00,0,0,4,3
2024-11-19 00:00:00+00:00,0,0,9,3
2024-11-20 00:00:00+00:00,0,0,2,1
2024-11-21 00:00:00+00:00,0,0,5,2
2024-11-24 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,1,1,11,2
2024-11-28 00:00:00+00:00,0,0,3,2
2024-11-29 00:00:00+00:00,1,1,11,2
2024-12-03 00:00:00+00:00,0,0,4,1
2024-12-05 00:00:00+00:00,0,0,2,1
2024-12-10 00:00:00+00:00,0,0,8,1
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-12 00:00:00+00:00,0,0,2,2
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,1,1,2,1
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-26 00:00:00+00:00,0,0,2,1
2024-12-27 00:00:00+00:00,0,0,1,1
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,1,1,0,0
