time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-18 00:00:00+00:00,0,0,3,3
2024-12-19 00:00:00+00:00,0,0,20,6
2024-12-23 00:00:00+00:00,0,0,8,2
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,4,3
2024-12-30 00:00:00+00:00,0,0,1,1
2025-01-02 00:00:00+00:00,0,0,3,1
2025-01-06 00:00:00+00:00,1,1,51,7
2025-01-07 00:00:00+00:00,1,1,62,7
2025-01-08 00:00:00+00:00,0,0,12,5
2025-01-09 00:00:00+00:00,0,0,5,3
2025-01-10 00:00:00+00:00,0,0,9,6
2025-01-13 00:00:00+00:00,0,0,23,4
2025-01-14 00:00:00+00:00,0,0,25,3
2025-01-15 00:00:00+00:00,1,1,7,4
2025-01-16 00:00:00+00:00,0,0,27,3
2025-01-17 00:00:00+00:00,0,0,5,2
2025-01-18 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,1,1,8,4
2025-01-21 00:00:00+00:00,0,0,7,2
