time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,3.0,3.0,108,9
2024-11-02 00:00:00+00:00,2.0,2.0,6,2
2024-11-03 00:00:00+00:00,2.0,2.0,14,5
2024-11-04 00:00:00+00:00,1.0,1.0,58,10
2024-11-05 00:00:00+00:00,46.0,3.0,26,9
2024-11-06 00:00:00+00:00,1.0,1.0,87,13
2024-11-07 00:00:00+00:00,2.0,2.0,32,8
2024-11-08 00:00:00+00:00,,,57,10
2024-11-09 00:00:00+00:00,3.0,3.0,1,1
2024-11-10 00:00:00+00:00,6.0,4.0,24,4
2024-11-11 00:00:00+00:00,1.0,1.0,19,1
2024-11-12 00:00:00+00:00,1.0,1.0,18,6
2024-11-13 00:00:00+00:00,,,14,5
2024-11-14 00:00:00+00:00,,,70,12
