time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,1,1
2024-08-29 00:00:00+00:00,0,0,3,3
2024-08-30 00:00:00+00:00,5,5,2,2
2024-08-31 00:00:00+00:00,5,5,0,0
2024-09-02 00:00:00+00:00,0,0,1,1
2024-09-03 00:00:00+00:00,0,0,2,2
2024-09-04 00:00:00+00:00,0,0,5,2
2024-09-05 00:00:00+00:00,0,0,3,1
2024-09-06 00:00:00+00:00,3,3,15,3
2024-09-08 00:00:00+00:00,0,0,25,14
2024-09-09 00:00:00+00:00,2,2,22,13
2024-09-10 00:00:00+00:00,0,0,4,4
2024-09-12 00:00:00+00:00,0,0,3,3
2024-09-13 00:00:00+00:00,0,0,22,2
2024-09-14 00:00:00+00:00,3,3,2,2
2024-09-19 00:00:00+00:00,0,0,7,5
2024-09-20 00:00:00+00:00,0,0,2,2
2024-09-21 00:00:00+00:00,2,2,2,1
2024-09-23 00:00:00+00:00,0,0,8,3
2024-09-24 00:00:00+00:00,1,1,9,4
2024-09-25 00:00:00+00:00,0,0,6,2
2024-09-26 00:00:00+00:00,0,0,3,3
2024-09-27 00:00:00+00:00,0,0,8,3
2024-09-28 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-01 00:00:00+00:00,0,0,7,6
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,3,2
2024-10-04 00:00:00+00:00,3,3,2,1
2024-10-05 00:00:00+00:00,0,0,4,4
2024-10-06 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,0,0,6,5
2024-10-08 00:00:00+00:00,0,0,6,3
2024-10-09 00:00:00+00:00,0,0,5,1
2024-10-12 00:00:00+00:00,3,3,0,0
2024-10-13 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,15,2
2024-10-16 00:00:00+00:00,0,0,4,4
2024-10-17 00:00:00+00:00,0,0,3,2
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-20 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,5,4
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,0,0,11,3
2024-10-25 00:00:00+00:00,1,1,3,3
2024-10-27 00:00:00+00:00,0,0,4,2
2024-10-28 00:00:00+00:00,0,0,6,3
2024-10-29 00:00:00+00:00,0,0,2,2
2024-10-30 00:00:00+00:00,0,0,2,2
2024-10-31 00:00:00+00:00,0,0,3,3
2024-11-03 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,0,0,15,1
2024-11-05 00:00:00+00:00,0,0,2,2
2024-11-06 00:00:00+00:00,0,0,5,5
2024-11-07 00:00:00+00:00,0,0,11,5
2024-11-09 00:00:00+00:00,1,1,1,1
2024-11-11 00:00:00+00:00,0,0,18,3
2024-11-12 00:00:00+00:00,1,1,12,5
2024-11-13 00:00:00+00:00,0,0,7,4
2024-11-14 00:00:00+00:00,0,0,5,4
2024-11-15 00:00:00+00:00,0,0,1,1
