time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,10,3
2024-08-29 00:00:00+00:00,1,1,4,1
2024-08-30 00:00:00+00:00,0,0,55,3
2024-08-31 00:00:00+00:00,0,0,2,1
2024-09-01 00:00:00+00:00,0,0,4,2
2024-09-02 00:00:00+00:00,0,0,10,3
2024-09-03 00:00:00+00:00,0,0,3,2
2024-09-04 00:00:00+00:00,0,0,3,1
2024-09-05 00:00:00+00:00,0,0,40,1
2024-09-07 00:00:00+00:00,0,0,4,1
2024-09-10 00:00:00+00:00,0,0,4,2
2024-09-11 00:00:00+00:00,3,3,1,1
2024-09-12 00:00:00+00:00,0,0,31,5
2024-09-15 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,0,0,2,1
2024-09-17 00:00:00+00:00,2,2,0,0
2024-09-19 00:00:00+00:00,1,1,2,1
2024-09-20 00:00:00+00:00,0,0,1,1
2024-09-21 00:00:00+00:00,0,0,4,2
2024-09-25 00:00:00+00:00,0,0,1,1
2024-09-26 00:00:00+00:00,0,0,5,1
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-29 00:00:00+00:00,0,0,6,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,0,0,14,1
2024-10-05 00:00:00+00:00,0,0,1,1
2024-10-06 00:00:00+00:00,0,0,6,1
2024-10-07 00:00:00+00:00,0,0,1,1
2024-10-08 00:00:00+00:00,0,0,3,3
2024-10-10 00:00:00+00:00,0,0,3,1
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-13 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,3,2
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-20 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,2,1
2024-10-22 00:00:00+00:00,0,0,26,5
2024-10-23 00:00:00+00:00,0,0,9,3
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-27 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,2,2
2024-10-30 00:00:00+00:00,0,0,5,2
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,1,1,2,1
2024-11-05 00:00:00+00:00,0,0,13,2
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,6,2
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,34,3
2024-11-12 00:00:00+00:00,1,1,4,4
2024-11-13 00:00:00+00:00,0,0,3,3
2024-11-14 00:00:00+00:00,0,0,2,2
2024-11-15 00:00:00+00:00,0,0,20,3
2024-11-16 00:00:00+00:00,0,0,7,2
2024-11-17 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,0,0,1,1
2024-11-19 00:00:00+00:00,0,0,2,2
2024-11-22 00:00:00+00:00,0,0,1,1
2024-11-24 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,5,3,77,5
2024-11-26 00:00:00+00:00,2,2,38,9
2024-11-27 00:00:00+00:00,2,2,13,2
2024-11-28 00:00:00+00:00,0,0,8,3
2024-11-29 00:00:00+00:00,1,1,12,5
2024-12-02 00:00:00+00:00,1,1,10,3
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,0,0,10,2
2024-12-06 00:00:00+00:00,0,0,2,2
2024-12-10 00:00:00+00:00,0,0,3,1
2024-12-11 00:00:00+00:00,1,1,2,1
2024-12-12 00:00:00+00:00,1,1,21,2
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,1,1,1,1
2024-12-17 00:00:00+00:00,0,0,1,1
2024-12-18 00:00:00+00:00,0,0,4,2
2024-12-19 00:00:00+00:00,1,1,18,2
2024-12-23 00:00:00+00:00,0,0,2,2
2024-12-24 00:00:00+00:00,0,0,4,4
2024-12-25 00:00:00+00:00,0,0,2,2
2024-12-26 00:00:00+00:00,0,0,1,1
2024-12-27 00:00:00+00:00,0,0,2,2
2024-12-29 00:00:00+00:00,0,0,3,2
2024-12-30 00:00:00+00:00,0,0,1,1
2024-12-31 00:00:00+00:00,0,0,1,1
2025-01-01 00:00:00+00:00,1,1,1,1
2025-01-03 00:00:00+00:00,0,0,1,1
2025-01-04 00:00:00+00:00,0,0,1,1
2025-01-05 00:00:00+00:00,0,0,1,1
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,0,0,4,1
2025-01-08 00:00:00+00:00,1,1,5,1
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,0,0,1,1
2025-01-11 00:00:00+00:00,1,1,3,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,16,3
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-16 00:00:00+00:00,0,0,5,1
2025-01-20 00:00:00+00:00,0,0,6,1
2025-01-21 00:00:00+00:00,0,0,5,2
2025-01-22 00:00:00+00:00,0,0,17,2
2025-01-23 00:00:00+00:00,0,0,2,2
2025-01-25 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,1,1
2025-01-29 00:00:00+00:00,0,0,1,1
2025-01-31 00:00:00+00:00,0,0,28,2
2025-02-01 00:00:00+00:00,1,1,1,1
2025-02-03 00:00:00+00:00,0,0,1,1
2025-02-04 00:00:00+00:00,1,1,2,2
2025-02-05 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,0,0,1,1
2025-02-08 00:00:00+00:00,0,0,1,1
2025-02-09 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,3,2
2025-02-12 00:00:00+00:00,0,0,2,2
2025-02-13 00:00:00+00:00,2,1,1,1
2025-02-14 00:00:00+00:00,0,0,1,1
2025-02-15 00:00:00+00:00,0,0,1,1
2025-02-16 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,0,0,1,1
2025-02-18 00:00:00+00:00,1,1,11,1
2025-02-19 00:00:00+00:00,0,0,29,3
2025-02-20 00:00:00+00:00,2,1,0,0
2025-02-21 00:00:00+00:00,0,0,7,1
2025-02-22 00:00:00+00:00,1,1,3,1
2025-02-23 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,3,2,3,3
2025-02-25 00:00:00+00:00,0,0,1,1
2025-02-26 00:00:00+00:00,0,0,8,2
2025-02-27 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,1,1,1,1
2025-03-02 00:00:00+00:00,0,0,1,1
2025-03-03 00:00:00+00:00,1,1,6,1
2025-03-04 00:00:00+00:00,1,1,6,2
2025-03-06 00:00:00+00:00,1,1,3,2
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-13 00:00:00+00:00,1,1,3,2
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-20 00:00:00+00:00,0,0,1,1
2025-03-21 00:00:00+00:00,2,2,2,2
2025-03-23 00:00:00+00:00,0,0,1,1
2025-03-24 00:00:00+00:00,1,1,20,5
2025-03-25 00:00:00+00:00,0,0,2,1
2025-03-26 00:00:00+00:00,0,0,1,1
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,1,1,9,2
2025-03-30 00:00:00+00:00,0,0,11,3
2025-03-31 00:00:00+00:00,1,1,3,1
2025-04-01 00:00:00+00:00,1,1,3,3
2025-04-02 00:00:00+00:00,1,1,1,1
2025-04-04 00:00:00+00:00,0,0,3,2
2025-04-05 00:00:00+00:00,0,0,4,2
2025-04-06 00:00:00+00:00,0,0,1,1
2025-04-09 00:00:00+00:00,0,0,1,1
2025-04-10 00:00:00+00:00,0,0,3,2
2025-04-11 00:00:00+00:00,1,1,1,1
2025-04-14 00:00:00+00:00,1,1,4,1
2025-04-15 00:00:00+00:00,0,0,1,1
2025-04-18 00:00:00+00:00,2,2,0,0
2025-04-19 00:00:00+00:00,0,0,2,1
2025-04-21 00:00:00+00:00,1,1,0,0
