time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-30 00:00:00+00:00,0,0,4,4
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,0,0,2,2
2024-10-04 00:00:00+00:00,0,0,13,4
2024-10-06 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,4,4,10,4
2024-10-08 00:00:00+00:00,0,0,2,2
2024-10-09 00:00:00+00:00,0,0,2,1
2024-10-10 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,2,2
2024-10-16 00:00:00+00:00,1,1,9,2
2024-10-17 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,0,0,3,3
2024-10-21 00:00:00+00:00,1,1,4,4
2024-10-22 00:00:00+00:00,1,1,3,3
2024-10-24 00:00:00+00:00,0,0,2,2
2024-10-25 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,0,0,2,1
2024-10-29 00:00:00+00:00,0,0,2,1
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,0,0,1,1
