time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-07 00:00:00+00:00,,,3,1
2025-02-08 00:00:00+00:00,,,37,2
2025-02-09 00:00:00+00:00,,,1,1
2025-02-10 00:00:00+00:00,,,3,2
2025-02-11 00:00:00+00:00,,,1,1
2025-02-12 00:00:00+00:00,,,21,2
2025-02-13 00:00:00+00:00,5.0,5.0,38,5
2025-02-14 00:00:00+00:00,22.0,14.0,144,11
2025-02-15 00:00:00+00:00,,,129,9
2025-02-16 00:00:00+00:00,,,9,3
2025-02-17 00:00:00+00:00,1.0,1.0,6,4
2025-02-18 00:00:00+00:00,1.0,1.0,9,3
2025-02-19 00:00:00+00:00,,,7,4
2025-02-20 00:00:00+00:00,1.0,1.0,6,2
